scene_id,acquisition_date,season_year,season_day,week_index,cloud_cover,valid_pixel_fraction,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_valid_pixels,evi_mean,evi_median,evi_p25,evi_p75,evi_valid_pixels,ndre_mean,ndre_median,ndre_p25,ndre_p75,ndre_valid_pixels
S2B_MSIL2A_20240418T052649_R105_T43QCB_20240418T092913,2024-04-18 05:26:49.024000+00:00,2024,17,2,19.18364,1.0,0.2267647385597229,0.20518282055854797,0.13976995646953583,0.302834689617157,22200,0.2509305477142334,0.2195800095796585,0.1437620371580124,0.3397423028945923,22200,0.15786530077457428,0.1358707994222641,0.0860166847705841,0.21711504459381104,22200
S2A_MSIL2A_20240423T052651_R105_T43QCB_20240423T120909,2024-04-23 05:26:51.024000+00:00,2024,22,3,0.803193,1.0,0.24114349484443665,0.21453091502189636,0.13204272091388702,0.33852213621139526,22200,0.2401658147573471,0.20492173731327057,0.11868130415678024,0.3413970172405243,22200,0.1616780012845993,0.13487300276756287,0.0734497606754303,0.23619885742664337,22200
S2B_MSIL2A_20240428T052649_R105_T43QCB_20240428T093623,2024-04-28 05:26:49.024000+00:00,2024,27,3,0.035284,1.0,0.25135138630867004,0.21983414888381958,0.12588246166706085,0.3630680739879608,22200,0.2501693069934845,0.20890119671821594,0.11157820373773575,0.365291029214859,22200,0.17270734906196594,0.1432260125875473,0.0711352750658989,0.2585805654525757,22200
S2A_MSIL2A_20240503T052651_R105_T43QCB_20240503T101756,2024-05-03 05:26:51.024000+00:00,2024,32,4,0.000736,1.0,0.23698671162128448,0.21068629622459412,0.13312692940235138,0.32601088285446167,22200,0.25023844838142395,0.2143772691488266,0.12835505604743958,0.3489886224269867,22200,0.16863705217838287,0.14346608519554138,0.086386539041996,0.23562170565128326,22200
S2B_MSIL2A_20240508T052649_R105_T43QCB_20240508T092049,2024-05-08 05:26:49.024000+00:00,2024,37,5,0.071916,1.0,0.22972889244556427,0.2037670910358429,0.12490454316139221,0.32009002566337585,22200,0.248957097530365,0.21247684955596924,0.12269342690706253,0.35146382451057434,22200,0.15754853188991547,0.13244614005088806,0.0740223154425621,0.22621241211891174,22200
S2A_MSIL2A_20240513T052651_R105_T43QCB_20240513T111917,2024-05-13 05:26:51.024000+00:00,2024,42,6,10.54743,1.0,0.2424800992012024,0.2193043828010559,0.1253146082162857,0.34802722930908203,22200,0.25499823689460754,0.21840915083885193,0.11576692759990692,0.3716147541999817,22200,0.16050681471824646,0.13773313164710999,0.06672389805316925,0.24184581637382507,22200
S2B_MSIL2A_20240518T052649_R105_T43QCB_20240518T091133,2024-05-18 05:26:49.024000+00:00,2024,47,6,1.414574,1.0,0.2563328146934509,0.2340778410434723,0.13696140050888062,0.3658217191696167,22200,0.2772253751754761,0.23882131278514862,0.13018204271793365,0.40299564599990845,22200,0.17802105844020844,0.1560310572385788,0.08072539418935776,0.26333358883857727,22200
S2B_MSIL2A_20240528T052649_R105_T43QCB_20240528T093558,2024-05-28 05:26:49.024000+00:00,2024,57,8,24.720503,1.0,0.24291549623012543,0.2195272147655487,0.13335660099983215,0.3417973816394806,22200,0.2666206657886505,0.23166117072105408,0.13111338019371033,0.38051003217697144,22200,0.171607106924057,0.14873942732810974,0.0828787162899971,0.2486901730298996,22200
S2A_MSIL2A_20240602T052651_R105_T43QCB_20240602T120812,2024-06-02 05:26:51.024000+00:00,2024,62,8,70.223397,1.0,0.2233513742685318,0.2009080946445465,0.12263600528240204,0.31287330389022827,22200,0.24849697947502136,0.21388012170791626,0.12368154525756836,0.3531968891620636,22200,0.1495409905910492,0.12764868140220642,0.06870104372501373,0.2191033661365509,22200
S2A_MSIL2A_20240612T052651_R105_T43QCB_20240612T122129,2024-06-12 05:26:51.024000+00:00,2024,72,10,64.565432,0.9581981981981982,0.25015413761138916,0.2272566258907318,0.12919177114963531,0.3633232116699219,21272,0.2835640013217926,0.24352985620498657,0.1284606158733368,0.41957947611808777,21272,0.17163757979869843,0.14803002774715424,0.07427749037742615,0.2586970925331116,21272
S2A_MSIL2A_20240622T052751_R105_T43QCB_20240622T102917,2024-06-22 05:27:51.024000+00:00,2024,82,11,42.99888,0.5677927927927928,0.29352256655693054,0.29301324486732483,0.1767173856496811,0.4030303359031677,12605,0.3253069519996643,0.3092310130596161,0.1816999316215515,0.45141881704330444,12605,0.20307862758636475,0.19583643972873688,0.10972607880830765,0.2865951955318451,12605
S2B_MSIL2A_20250403T052649_R105_T43QCB_20250403T080413,2025-04-03 05:26:49.024000+00:00,2025,2,0,0.322534,1.0,0.19964420795440674,0.19031280279159546,0.14332887530326843,0.2485487461090088,22200,0.23763254284858704,0.22204868495464325,0.16029192507266998,0.30099785327911377,22200,0.13856931030750275,0.12762665748596191,0.09039079397916794,0.17813345789909363,22200
S2C_MSIL2A_20250408T052711_R105_T43QCB_20250408T105617,2025-04-08 05:27:11.024000+00:00,2025,7,1,0.01619,1.0,0.24633829295635223,0.22359657287597656,0.1511259377002716,0.32924219965934753,22200,0.24154987931251526,0.21191298961639404,0.1357438862323761,0.32545337080955505,22200,0.16292168200016022,0.14033788442611694,0.09473684430122375,0.21798376739025116,22200
S2B_MSIL2A_20250413T052649_R105_T43QCB_20250413T075318,2025-04-13 05:26:49.024000+00:00,2025,12,1,0.001446,1.0,0.23310956358909607,0.2103484570980072,0.14874428510665894,0.30673131346702576,22200,0.24820475280284882,0.2181142270565033,0.1466401219367981,0.3306942582130432,22200,0.1629582941532135,0.14056450128555298,0.09528035670518875,0.21748879551887512,22200
S2C_MSIL2A_20250418T052711_R105_T43QCB_20250418T103813,2025-04-18 05:27:11.025000+00:00,2025,17,2,0.000915,1.0,0.21043914556503296,0.1886710524559021,0.13380737602710724,0.2747037410736084,22200,0.22622138261795044,0.19670839607715607,0.13280385732650757,0.29813873767852783,22200,0.13617169857025146,0.11574462056159973,0.08011670410633087,0.18063901364803314,22200
S2A_MSIL2A_20250420T053241_R105_T43QCB_20250420T120316,2025-04-20 05:32:41.024000+00:00,2025,19,2,0.000659,1.0,0.22522655129432678,0.20011872053146362,0.1403018981218338,0.29776760935783386,22200,0.2318037748336792,0.1996861696243286,0.1324366182088852,0.3087143898010254,22200,0.15357324481010437,0.12914720177650452,0.08658459037542343,0.20861193537712097,22200
S2C_MSIL2A_20250428T052711_R105_T43QCB_20250428T103005,2025-04-28 05:27:11.025000+00:00,2025,27,3,0.001173,1.0,0.218312069773674,0.19211162626743317,0.13414093852043152,0.2910211384296417,22200,0.22665269672870636,0.1938009262084961,0.1279846876859665,0.30435165762901306,22200,0.14323347806930542,0.12041302025318146,0.08199551701545715,0.19429661333560944,22200
